Clause_ID,Clause_Text,Category,Subcategory,Vulnerability_Level,Annotation_Notes,Key_Terms,Clause_Context,Policy_Type,Vulnerability_Score
C3177,"Contact number of the Insured Person
3.",Contact Information,Policyholder Contact,Low,This clause provides the contact number of the insured person.,"['Contact number', 'Insured Person']",low Coverage,Health,1
C3178,"Location of Insured Person
How to Call an Ambulance?",Coverage,Emergency Services,Low,This clause pertains to the procedure for calling an ambulance in case of an emergency.,"['Location of Insured Person', 'Ambulance', 'How to Call']",low Coverage,Health,1
C3179,"ICICI Lombard Complete Health Insurance Annexure I
UIN - ICIHLIP22096V062122
An IVRS will ask you Call will be
Call 18001028136 to to select option 1or answered by an CSE
reach the 2 depending on & details like name,
Emergency requirement.",Procedure for Emergency Assistance,Emergency Contact Information,Medium,This clause provides information on the process to contact the insurance provider in case of an emergency.,"['IVRS', '18001028136', 'option 1', 'CSE', 'emergency requirement', 'name']",high Coverage,Health,3
C3180,"UHID, nature of
Response Centre Dial 1 for Medical emergency will be
Ambulance Services asked
Patient will be taken
Doctor may
to the nearest Emergency
accompany patient
hospital as per the Ambulance
in the ambulance if
predefined hospital Transport will arrive
required
network chart
iii.",Emergency Medical Services,Ambulance Services,High,This clause describes the process for calling an ambulance in case of a medical emergency.,"['UHID', 'Medical emergency', 'Response Centre', 'Ambulance Services', 'Patient', 'Doctor', 'Emergency', 'Hospital', 'Transport']",high Coverage,Health,3
C3181,"Tele Consultation
We will arrange consultations and recommendations for routine health issues by a
qualified Medical Practitioner or health care professional.",Coverage,Telemedicine,Low,The clause provides information about teleconsultation services for routine health issues.,"['Tele Consultation', 'routine health issues', 'qualified Medical Practitioner', 'health care professional']",low Coverage,Health,1
C3182,"For the purpose of this benefit
Telephonic/Virtual consultation shall mean consultation provided by a qualified Medical
Practitioner or Health care professional through various mode of communication like
audio, video, online portal, chat or mobile app.",Coverage,Consultation,Low,No specific vulnerabilities identified,"['Telephonic/Virtual consultation', 'Qualified Medical Practitioner', 'Health care professional', 'Audio', 'Video', 'Online portal', 'Chat', 'Mobile app']",low Coverage,Health,1
C3183,"The services provided under this Benefit
will be made available subject to the terms and conditions, and in the manner prescribed
below:
 The Medical Practitioner may suggest/recommend/prescribe over the counter
medications based on the information provided, if required on a case to case basis.",Coverage,Treatment Conditions,Low,This clause describes the conditions under which medical treatments can be provided under the health insurance policy.,"['Medical Practitioner', 'over the counter medications', 'case to case basis']",moderate Coverage,Health,2
C3184,"However, the services under this Benefit should not be construed to constitute
medical advice and/or substitute the Insured Person's visit/ consultation to an
independent Medical Practitioner/Healthcare professional*.",Disclaimer,Medical Advice,Low,This clause clarifies that the services under the benefit are not intended to replace the Insured Person's visit to an independent Medical Practitioner or Healthcare professional.,"['services', 'Benefit', 'medical advice', 'Insured Person', 'Independent Medical Practitioner', 'Healthcare professional']",moderate Exclusion,Health,2
C3185," This service will be available 24 hours a day, and 365 days in a year.",Coverage,Availability,Low,"The clause specifies the availability of a service, which is a common aspect of insurance coverage.","['service', '24 hours', 'day', '365 days', 'year']",moderate Coverage,Health,2
C3186," We/Medical Practitioner/Healthcare professional may refer the Insured Person to a
specialist or a general physician, if required**, and the charges for such specialist or
a general physician will have to be borne by the Insured Person.",Coverage,Out-of-pocket expenses,High,This clause specifies that the insured person is responsible for paying the costs of specialist or general physician consultations if referred by the medical practitioner.,"['Insured Person', 'Specialist', 'General Physician', 'Charges']",high Coverage,Health,3
C3187," We shall not be liable for any discrepancy in the information provided under this
Benefit.",Exclusion,Policy Limitations,High,The clause indicates that the insurer is not responsible for any discrepancies in the provided benefit information.,"['discrepancy', 'information', 'benefit', 'liability']",high Exclusion,Health,3
C3188," Choosing the services under this Benefit is purely upon the customer’s own discretion
and at own risk.",Coverage,Customer Discretion,Medium,"This clause outlines the customer's discretion in choosing services under the health insurance benefit, which could potentially lead to misuse or misunderstanding.","[""customer's discretion"", 'own risk']",high Coverage,Health,3
C3189,"*The proposer should seek assistance from a health care professional when
interpreting and applying them to the Insured person’s individual circumstances.",Responsibility,Interpretation and Application,Medium,This clause emphasizes the importance of seeking professional advice for the interpretation and application of the policy terms to the insured person's individual circumstances.,"['proposer', 'health care professional', 'individual circumstances', 'interpret', 'apply']",high Exclusion,Health,3
C3190,"If
the Insured person has any concerns about His/ her health, He/ She may consult
His/ her general practitioner.",Coverage,Consultation,Low,This clause pertains to the process for the insured person to consult their general practitioner if they have concerns about their health.,"['Insured person', 'health', 'general practitioner']",moderate Coverage,Health,2
C3191,**Consultations charges would be applicable.,Charges,Consultation Fees,Medium,This clause indicates that consultation fees may be charged to the policyholder.,"['Consultations', 'Charges']",high Exclusion,Health,3
C3192,"e. EXCLUSIONS UNDER THE POLICY
We will not be liable for any Deductible amount, if applicable and as specifically defined in the
Policy Schedule under the Policy
We shall not be liable to make any payment under this Policy in connection with or in respect of
any expenses whatsoever incurred by You in connection with or in respect of:
Page 33 of 52",Exclusion,Deductible Exclusion,High,This clause specifies a situation where the insurance company is not liable to pay any deductible amount as defined in the policy schedule.,"['Deductible amount', 'Policy Schedule', 'Exclusions', 'Payment']",high Exclusion,Health,3
C3193,"Standard Exclusion (Exclusions for which standard wordings are specified by
IRDAI)
E.1 Code- Excl01: Pre-Existing Diseases
a) Expenses related to the treatment of a pre-existing Disease (PED) and its direct
complications shall be excluded until the expiry of 24 months3 of continuous coverage
after the date of inception of the first policy with insurer.",Exclusion,Pre-Existing Diseases,High,This clause pertains to the exclusion of coverage for pre-existing diseases and their complications during the first 24 months of continuous coverage.,"['Pre-Existing Diseases', 'Treatment', 'Direct Complications', 'Continuous Coverage', '24 months']",high Exclusion,Health,3
C3194,"b) In case of enhancement of sum insured the exclusion shall apply afresh to the extent of
sum insured increase.",Exclusion,Sum Insured Modification,Medium,This clause pertains to the circumstances under which the sum insured can be enhanced and the implications of such an enhancement on the policy's exclusions.,"['enhancement', 'sum insured', 'exclusion']",high Exclusion,Health,3
C3195,"c) If the Insured Person is continuously covered without any break as defined under the
portability norms of the extant IRDAI (Health Insurance) Regulations, then waiting
period for the same would be reduced to the extent of prior coverage
d) Coverage under the policy after the expiry of 24 months for any pre-existing disease is
subject to the same being declared at the time of application and accepted by Insurer.",Coverage,Waiting Period,Medium,This clause pertains to the reduction of waiting period for continuous coverage under the policy as per portability norms and IRDAI regulations.,"['Insured Person', 'Continuous Coverage', 'Waiting Period', 'Portability Norms', 'IRDAI', 'Prior Coverage']",high Coverage,Health,3
C3196,"E.2 Code- Excl02: Specified disease/procedure waiting period
a) Expenses related to the treatment of the listed Conditions, surgeries/treatments shall
be excluded until the expiry of 24 months of continuous coverage after the date of
inception of the first policy with us.",Exclusion,Waiting Period,High,This clause specifies a waiting period for expenses related to treatment of certain conditions or surgeries/treatments.,"['Excl02', '24 months', 'continuous coverage', 'treatment', 'listed Conditions', 'surgeries/treatments', 'inception of the first policy']",high Waiting Period,Health,3
C3197,"This exclusion shall not be applicable for claims
arising due to an accident.",Exclusion,Accident-related Exclusions,Medium,"This clause specifies a situation where the exclusion does not apply, i.e., for claims arising due to an accident.","['claims', 'arising', 'accident']",high Exclusion,Health,3
C3198,"b) In case of enhancement of sum insured the exclusion shall apply afresh to the extent of
sum insured increase.",Exclusion,Sum Insured Increase Exclusion,Medium,This clause pertains to the exclusion of coverage when the sum insured is increased.,"['sum insured', 'enhancement', 'exclusion', 'afresh']",high Exclusion,Health,3
C3199,"c) If any of the specified disease/procedure falls under the waiting period specified for pre-
Existing diseases, then the longer of the two waiting periods shall apply.",Waiting Period,Pre-existing Disease,High,This clause specifies the application of the longer of two waiting periods for pre-existing diseases.,"['pre-existing diseases', 'waiting period', 'specified disease/procedure']",high Exclusion,Health,3
C3200,"d) The waiting period for listed conditions shall apply even if contracted after the policy or
declared and accepted without a specific exclusion.",Waiting Period,Application of Waiting Period,Medium,"This clause specifies the application of the waiting period for listed conditions, even if the policy is contracted after its inception or declared and accepted without a specific exclusion.","['waiting period', 'listed conditions', 'contracted', 'policy', 'specific exclusion']",high Exclusion,Health,3
C3201,"e) If the Insured Person is continuously covered without any break as defined under the
applicable norms on portability stipulated by IRDAI, then waiting period for the same
would be reduced to the extent of prior coverage.",Waiting Period,Reduction,Medium,This clause pertains to the reduction of waiting period for coverage under specific conditions,"['Insured Person', 'continuously covered', 'break', 'portability', 'IRDAI', 'waiting period', 'prior coverage']",high Waiting Period,Health,3
C3202,"List of specific diseases/procedure:
• Cataract*
• Benign Prostatic Hypertrophy
• Myomectomy, Hysterectomy unless because of malignancy
• All types of Hernia, Hydrocele
• Fissures &/or Fistula in anus, hemorrhoids/piles
• Arthritis, gout, rheumatism and spinal disorders
• Joint replacements unless due to accident
• Sinusitis and related disorders
• Stones in the urinary and billiary systems
• Dilatation and curettage , Endometriosis
• All types of Skin and internal tumors/ cysts/nodules/ polyps of any kind including
breast lumps unless malignant
• Dialysis required for chronic renal failure
• Surgery on tonsils, adenoids and sinuses
• Gastric and Duodenal erosions & ulcers
• Deviated Nasal Septum
• Varicose Veins/ Varicose Ulcers
• All types of internal congenital anomalies/ illness/defects
3 Pre-existing waiting period of 48 months will be applicable for sum insured options of upto 2Lacs
Page 34 of 52",Coverage,Specific Diseases and Procedures,Medium,This clause lists specific diseases and procedures covered under the health insurance policy.,"['Cataract', 'Benign Prostatic Hypertrophy', 'Myomectomy', 'Hysterectomy', 'Hernia', 'Hydrocele', 'Fissures &/or Fistula in anus', 'hemorrhoids/piles', 'Arthritis', 'gout', 'rheumatism', 'spinal disorders', 'Joint replacements', 'Sinusitis', 'stones in the urinary and billiary systems', 'Dilatation and curettage', 'Endometriosis', 'Skin tumors/ cysts/nodules/ polyps', 'Dialysis', 'Surgery on tonsils, adenoids and sinuses', 'Gastric and Duodenal erosions & ulcers', 'Deviated Nasal Septum', 'Varicose Veins/ Varicose Ulcers', 'internal congenital anomalies/ illness/defects']",high Coverage,Health,3
C3203,"ICICI Lombard Complete Health Insurance Annexure I
UIN - ICIHLIP22096V062122
* After two years from the Period of Insurance Start Date, Our maximum liability arising out of
any Claim for a cataract treatment shall not exceed Rs.",Coverage,Maximum Liability Limit,Medium,This clause specifies the maximum amount that the insurance company will pay for cataract treatment after a certain period.,"['cataract treatment', 'maximum liability', 'two years', 'Period of Insurance Start Date', 'amount']",high Coverage,Health,3
C3204,"20,000 per eye, during each Policy
Year of the Policy Period for plans with Sum Insured up to ₹5Lacs.",Coverage,Benefit,Low,This clause specifies the benefit amount for a particular coverage under the health insurance policy.,"['20,000 per eye', 'Policy Year', 'Sum Insured']",low Coverage,Health,1
C3205,"Sub limit of ₹1,00,000 per
eye per Policy year will be applicable for Cataract surgery for plans with Sum Insured above
₹5Lacs.",Coverage,Benefit Limit,Medium,This clause specifies a benefit limit for a specific medical procedure (Cataract surgery) under certain policy conditions (Sum Insured above ₹5Lacs),"['Cataract surgery', 'Sub limit', '₹1,00,000', 'Policy year', '₹5Lacs']",high Coverage,Health,3
C3206,"In case the above Illnesses are Pre-existing condition(s) at the commencement of this Policy,
then these Illnesses shall be covered after 24 months4 of continuous coverage has elapsed,
since Period of Insurance Start Date.",Waiting Period,Pre-existing Condition,High,"No HDFC or CIN references, no page numbers or headers","['Pre-existing condition', '24 months', 'Continuous coverage', 'Period of Insurance Start Date']",high Waiting Period,Health,3
C3207,"E.3
a) Expenses related to the treatment of the below mentioned illness within 90 days from
the first policy commencement date shall be excluded unless they are pre-existing
and disclosed at the time of underwriting
i.",Exclusion,Pre-existing Condition Exclusion,High,This clause pertains to the exclusion of expenses related to certain illnesses if they are pre-existing and not disclosed at the time of underwriting.,"['Expenses', 'Treatment', 'Illness', '90 days', 'First policy commencement date', 'Pre-existing', 'Disclosed', 'Underwriting']",high Exclusion,Health,3
C3208,"Hypertension
ii.",Coverage,Pre-existing Conditions,Medium,"This clause pertains to a pre-existing condition, specifically hypertension. It may be a coverage for this condition, but the exact details are not provided in the snippet.",['Hypertension'],high Coverage,Health,3
C3209,"Cardiac Conditions
b) This exclusion shall not, however, apply if the Insured Person has continuous
coverage for more than twelve months.",Exclusion,Continuous Coverage,Medium,"This clause specifies a condition under which an exclusion does not apply, in this case, continuous coverage for more than twelve months.","['Insured Person', 'Continuous coverage', 'Twelve months']",high Exclusion,Health,3
C3210,"c) The within referred waiting period is made applicable to the enhanced sum insured
in the event of granting higher sum insured subsequently.",Waiting Period,Modification,Medium,This clause refers to a modification of the waiting period in relation to the enhanced sum insured.,"['waiting period', 'enhanced sum insured', 'subsequently']",high Coverage,Health,3
C3211,"E.4 Code- Excl03: 30-day waiting period
a) Expenses related to the treatment of any illness within 30 days from the first policy
commencement date shall be excluded except claims arising due to an accident,
provided the same are covered.",Exclusion,Waiting Period,Medium,"This clause pertains to a waiting period of 30 days for certain illness-related expenses, with exceptions for accidents covered under the policy.","['30-day waiting period', 'treatment of any illness', 'first policy commencement date', 'accident', 'claims']",high Exclusion,Health,3
C3212,"b) This exclusion shall not, however, apply if the Insured Person has Continuous
Coverage for more than twelve months.",Exclusion,Waiting Period,Medium,This clause specifies a waiting period for coverage exclusion.,"['Insured Person', 'Continuous Coverage', 'twelve months']",high Exclusion,Health,3
C3213,"c) The within referred waiting period is made applicable to the enhanced sum insured in
the event of granting higher sum insured subsequently.",Waiting Period,Modification,Medium,This clause pertains to the modification of the waiting period in relation to the enhanced sum insured.,"['within referred waiting period', 'enhanced sum insured', 'subsequently']",high Coverage,Health,3
C3214,"E.5 Permanent Exclusions
i. Code- Excl04: Investigation & Evaluation
a) Expenses related to any admission primarily for diagnostics and evaluation
purposes only are excluded.",Exclusion,Diagnostic and Evaluation Exclusions,High,"This clause pertains to expenses related to admission primarily for diagnostic and evaluation purposes, which are excluded under the policy.","['Permanent Exclusions', 'Code- Excl04', 'Investigation & Evaluation', 'Expenses', 'Admission', 'Diagnostics', 'Evaluation purposes', 'Excluded']",high Exclusion,Health,3
C3215,"b) Any diagnostic expenses which are not related or not incidental to the current
diagnosis and treatment are excluded.",Exclusion,Treatment Exclusion,High,This clause excludes diagnostic expenses that are not related or not incidental to the current diagnosis and treatment.,"['diagnostic expenses', 'current diagnosis', 'treatment', 'excluded']",high Exclusion,Health,3
C3216,"Code- Excl05: Exclusion Name: Rest Cure, rehabilitation and respite care
a) Expenses related to any admission primarily for enforced bed rest and not for
receiving treatment.",Exclusion,Medical Treatment,High,"This clause specifically mentions 'Rest Cure, rehabilitation and respite care' and 'expenses related to any admission primarily for enforced bed rest and not for receiving treatment', which are key terms related to medical care and treatment.","['Rest Cure', 'rehabilitation', 'respite care', 'admission', 'enforced bed rest', 'treatment']",high Exclusion,Health,3
C3217,"This also includes:
I. Custodial care either at home or in a nursing facility for personal care
such as help with activities of daily living such as bathing, dressing,
moving around either by skilled nurses or assistant or non-skilled
persons.",Coverage,Custodial Care,High,"This clause pertains to the coverage of custodial care, which includes personal care services like bathing, dressing, and moving around, whether at home or in a nursing facility. It specifies that this care can be provided by skilled nurses, assistants, or non-skilled persons.","['Custodial care', 'Home', 'Nursing facility', 'Personal care', 'Activities of daily living', 'Skilled nurses', 'Assistant', 'Non-skilled persons']",high Coverage,Health,3
C3218,"4 Pre-existing waiting period of 48 months will be applicable for sum insured options of upto 2Lacs
Page 35 of 52",Waiting Period,Pre-existing Condition,Medium,"This clause specifies a waiting period for pre-existing conditions, which may impact the insured's coverage.","['Pre-existing waiting period', '48 months', 'Sum insured options', 'upto 2Lacs']",high Waiting Period,Health,3
C3219,"Any services for people who are terminally ill to address physical,
social, emotional and spiritual needs.",Coverage,Palliative Care,High,"This clause pertains to services provided for terminally ill individuals, addressing their physical, social, emotional, and spiritual needs.","['terminally ill', 'physical', 'social', 'emotional', 'spiritual needs']",high Coverage,Health,3
C3220,"Code- Excl06: Obesity/ Weight Control
Expenses related to the surgical treatment of obesity that does not fulfil all the below
conditions:
1) Surgery to be conducted is upon the advice of the Doctor
2) The surgery/Procedure conducted should be supported by clinical protocols
3) The member has to be 18 years of age or older and
4) Body Mass Index (BMI);
5) greater than or equal to 40 or
6) greater than or equal to 35 in conjunction with any of the following severe co-
morbidities following failure of less invasive methods of weight loss:
o Obesity-related cardiomyopathy
o Coronary heart disease
o Severe Sleep Apnea
o Uncontrolled Type2 Diabetes
iv.",Surgical Treatment,Obesity/Weight Control,High,This clause specifies conditions for coverage of surgical treatment for obesity.,"['Obesity', 'Surgical treatment', 'Body Mass Index (BMI)', '18 years', '40 or greater', '35 or greater', 'Severe co-morbidities', 'Obesity-related cardiomyopathy', 'Coronary heart disease', 'Severe Sleep Apnea', 'Uncontrolled Type2 Diabetes', 'Less invasive methods of weight loss']",high Exclusion,Health,3
C3221,"Code- Excl07: Change of Gender treatments
Expenses related to any treatment, including surgical management, to change
characteristics of the body to those of the opposite sex.",Treatments,Gender Transition Treatments,Medium,"This clause pertains to expenses related to treatments for changing the gender, including surgical management.","['Change of Gender', 'treatments', 'surgical management']",high Exclusion,Health,3
C3222,"v. Code- Excl08: Cosmetic or plastic Surgery
Expenses for cosmetic or plastic surgery or any treatment to change appearance
unless for reconstruction following an Accident, Burn(s) or Cancer or as part of
medically necessary treatment to remove a direct and immediate health risk to the
insured.",Exclusion,Cosmetic Surgery Exclusion,High,"This clause pertains to the exclusion of cosmetic surgery expenses unless it is for reconstruction following an accident, burns, or cancer, or as part of medically necessary treatment to remove a direct and immediate health risk to the insured.","['Cosmetic Surgery', 'Plastic Surgery', 'Accident', 'Burn(s)', 'Cancer', 'Reconstruction', 'Treatment', 'Health Risk', 'Insured']",high Exclusion,Health,3
C3223,"For this to be considered a medical necessity, it must be certified by the
attending Medical Practitioner.",Coverage,Medical Necessity,Low,This clause specifies a condition for coverage under the health insurance policy.,"['medical necessity', 'attending Medical Practitioner']",low Coverage,Health,1
C3224,"Code- Excl09: Hazardous or Adventure sports
Expenses related to any treatment necessitated due to participation as a professional
in hazardous or adventure sports, including but not limited to, para-jumping, rock
climbing, mountaineering, rafting, motor racing, horse racing or scuba diving, hand
gliding, sky diving, deep-sea diving.",Sports and Activities,Hazardous or Adventure Sports,High,The clause specifies a list of hazardous sports and activities that are excluded from coverage.,"['Hazardous or Adventure sports', 'Para-jumping', 'Rock climbing', 'Mountaineering', 'Rafting', 'Motor racing', 'Horse racing', 'Scuba diving', 'Hand gliding', 'Sky diving', 'Deep-sea diving']",high Exclusion,Health,3
C3225,"Code- Excl10: Breach of law
Expenses for treatment directly arising from or consequent upon any Insured Person
committing or attempting to commit a breach of law with criminal intent.",Exclusion,Legal Infractions,High,This clause pertains to the exclusion of coverage for expenses arising from treatment related to a breach of law committed with criminal intent.,"['Breach of law', 'Criminal intent', 'Expenses', 'Treatment']",high Exclusion,Health,3
C3226,"Code- Excl11: Excluded Providers
Expenses incurred towards treatment in any hospital or by any Medical Practitioner or
any other provider specifically excluded by the Insurer and disclosed in its website /
notified to the policyholders/proposers are not admissible.",Exclusion,Specific Exclusions,High,This clause specifies that certain providers are excluded from coverage and the policyholder should check the insurer's website or notifications for details.,"['Excluded Providers', 'Hospital', 'Medical Practitioner', 'Treatment', 'Incurred Expenses', 'Insurer', 'Website', 'Policyholders', 'Proposers', 'Not admissible']",high Exclusion,Health,3
C3227,"However, in case of life
threatening situations or following an accident, expenses up to the stage of stabilization
are payable but not the complete claim.",Exclusion,Accident Coverage,High,"This clause specifies that the insurance policy does not cover the full claim in certain situations, specifically in life-threatening situations or following an accident, up to the stage of stabilization.","['life-threatening situations', 'accident', 'stabilization', 'claim', 'expenses']",high Exclusion,Health,3
C3228,"Code- Excl12: Treatment for, Alcoholism, drug or substance abuse or any addictive
condition and consequences thereof.",Health,Treatment Exclusions,High,"This clause pertains to the exclusion of treatment for alcoholism, drug or substance abuse, and addictive conditions.","['Alcoholism', 'Drug or substance abuse', 'Addictive condition', 'Treatment', 'Exclusion']",high Exclusion,Health,3
C3229,"x. Code- Excl13: Treatments received in heath hydros, nature cure clinics, spas
or similar establishments or private beds registered as a nursing home attached to such
establishments or where admission is arranged wholly or partly for domestic reasons.",Exclusion,Treatment Exclusions,Medium,This clause pertains to the exclusion of treatments received in certain types of healthcare facilities.,"['Treatments', 'health hydros', 'nature cure clinics', 'spas', 'private beds', 'nursing home', 'domestic reasons']",high Exclusion,Health,3
C3230,"Code- Excl14: Dietary supplements and substances that can be purchased without
prescription, including but not limited to Vitamins, minerals and organic substances
unless prescribed by a medical practitioner as part of hospitalisation claim or day care
procedure.",Exclusion,Dietary Supplements,Medium,"This clause excludes coverage for dietary supplements that can be purchased without prescription, unless prescribed by a medical practitioner as part of hospitalisation claim or day care procedure.","['Dietary supplements', 'Vitamins', 'Minerals', 'Organic substances', 'Prescription', 'Hospitalisation claim', 'Day care procedure']",high Exclusion,Health,3
C3231,"Code- Excl15: Refractive Error: Expenses related to the treatment for correction of eye
sight due to refractive error less than 7.5 dioptres
xiii.",Eye Health,Refractive Error Treatment,Medium,This clause pertains to the exclusion of expenses related to the treatment of refractive errors with a magnitude less than 7.5 dioptres.,"['Refractive Error', 'Treatment', 'Correction of eye sight', '7.5 dioptres']",high Exclusion,Health,3
C3232,"Code- Excl16: Unproven Treatments: Expenses related to any unproven treatment,
services and supplies for or in connection with any treatment.",Exclusion,Treatment Exclusions,High,Relates to expenses for unproven treatments,"['Unproven Treatments', 'Expenses', 'Treatment']",high Exclusion,Health,3
C3233,"Unproven treatments
are treatments, procedures or supplies that lack significant medical documentation to
support their effectiveness.",Exclusion,Treatment Exclusions,Medium,"This clause excludes coverage for treatments, procedures, or supplies that lack significant medical documentation to support their effectiveness.","['Unproven treatments', 'lack significant medical documentation', 'effectiveness']",high Exclusion,Health,3
C3234,"Code- Excl17: Sterility and Infertility: Expenses related to, sterility and infertility.",Sterility and Infertility,Treatment Expenses,Medium,This clause pertains to expenses related to sterility and infertility treatment.,"['Sterility', 'Infertility', 'Expenses']",high Coverage,Health,3
C3235,"This
includes:
a) Any type of contraception, sterilization
b) Assisted Reproduction services including artificial insemination and advanced
reproductive technologies such as IVF, ZIFT, GIFT, ICSI
c) Gestational Surrogacy
d) Reversal of sterilization
xv.",Reproductive Health Services,Fertility Treatments,High,This clause lists specific reproductive health services covered under the policy.,"['contraception', 'sterilization', 'Assisted Reproduction services', 'artificial insemination', 'IVF', 'ZIFT', 'GIFT', 'ICSI', 'Gestational Surrogacy', 'Reversal of sterilization']",high Coverage,Health,3
C3236,"Code- Excl18: Maternity: Medical treatment expenses traceable to childbirth (including
complicated deliveries and caesarean sections incurred during hospitalisation) except
ectopic pregnancy.",Maternity,Treatment Expenses,High,"This clause pertains to medical treatment expenses related to childbirth, including complicated deliveries and caesarean sections. It does not cover ectopic pregnancies.","['Maternity', 'Medical treatment expenses', 'Childbirth', 'Complicated deliveries', 'Caesarean sections', 'Ectopic pregnancy']",high Exclusion,Health,3
C3237,"Expenses towards miscarriage (unless due to an accident) and
lawful medical termination of pregnancy during the policy period
ii.",Coverage,Maternity,Medium,"This clause pertains to coverage for expenses related to miscarriage and lawful medical termination of pregnancy, but only if it is not due to an accident.","['miscarriage', 'lawful medical termination of pregnancy', 'policy period', 'unless due to an accident']",high Coverage,Health,3
C3238,"Specific Exclusion (Exclusions other than those mentioned under e.i above)
a.",Exclusion,Specific Exclusion,High,This clause outlines specific exclusions not already mentioned under e.i above.,"['Specific Exclusion', 'Exclusions', 'e.i']",high Exclusion,Health,3
C3239,"Any physical, medical or treatment or service that is specifically excluded in the Policy
Schedule under Special Conditions
b.",Exclusion,Specific Exclusions,High,This clause specifies a specific exclusion for services or treatments listed in the policy schedule under Special Conditions.,"['Physical', 'Medical', 'Treatment', 'Service', 'Policy Schedule', 'Special Conditions']",high Exclusion,Health,3
C3240,"Any expenses incurred on prosthesis, corrective devices, external durable medical
equipment of any kind, like wheelchairs, crutches, instruments used in treatment of
sleep apnoea syndrome or cost of cochlear implant(s) unless necessitated by an
Accident or required intra-operatively.",Coverage,Medical Devices,Medium,"This clause specifies the conditions under which expenses for certain medical devices are covered, specifically prostheses, corrective devices, external durable medical equipment, wheelchairs, crutches, instruments used in treatment of sleep apnoea syndrome, and cochlear implant(s). The coverage is only applicable if the expenses are necessitated by an Accident or required intra-operatively.","['Prosthesis', 'Corrective devices', 'External durable medical equipment', 'Wheelchairs', 'Crutches', 'Sleep apnoea syndrome', 'Cochlear implant(s)', 'Accident', 'Intra-operatively']",high Coverage,Health,3
C3241,"c. Expenses incurred on all dental treatment unless necessitated due to an Accident
d. Personal comfort, cosmetics, convenience and hygiene related items and services
e. Acupressure, acupuncture, magnetic and other therapies
f. Circumcision unless necessary for treatment of an Illness or necessitated due to an
Accident.",Coverage,Dental Treatment,Medium,"This clause specifies the conditions under which dental treatment is covered, excluding certain non-essential treatments.","['dental treatment', 'Accident', 'Personal comfort', 'cosmetics', 'convenience', 'hygiene', 'Acupressure', 'acupuncture', 'magnetic therapies', 'Circumcision']",high Coverage,Health,3
C3242,"Expenses for venereal disease or any sexually transmitted disease
Page 37 of 52",Coverage,Disease Coverage,Medium,This clause pertains to coverage for venereal and sexually transmitted diseases.,"['venereal disease', 'sexually transmitted disease']",high Coverage,Health,3
C3243,"ICICI Lombard Complete Health Insurance Annexure I
UIN - ICIHLIP22096V062122
g. Treatment relating to birth defects and external congenital Illnesses or defects or
anomalies
h. Any expenses arising out of Domiciliary Hospitalisation treatment
i.",Coverage,Specific Coverage,Medium,"This clause pertains to specific health coverage for treatment related to birth defects, external congenital illnesses or defects, and domiciliary hospitalisation treatment.","['birth defects', 'external congenital illnesses', 'defects', 'anomalies', 'domiciliary hospitalisation treatment']",high Coverage,Health,3
C3244,"Treatment taken outside the country
j.",Coverage,Out-of-Country Treatment,Medium,This clause pertains to the coverage for treatment taken outside the country.,"['Treatment', 'Outside', 'Country']",high Coverage,Health,3
C3245,"Intentional self-injury (whether arising from an attempt to commit suicide or otherwise)
k. Expenses related to donor screening, treatment, including surgery to remove organs
from a donor in the case of transplant surgery
l. Any injury or illness caused by or arising from or attributed to war, invasion, acts of
foreign enemies, hostilities (whether war be declared or not), civil war, commotion,
unrest, rebellion, revolution, military or usurped power or confiscation or nationalisation
or requisition of or damage by or under the order of any government or public local
authority
m. Any Illness or Injury caused by or contributed to by nuclear weapons/materials or
contributed to by or arising from ionising radiation or contamination by radioactivity by
any nuclear fuel or from any nuclear waste or from the combustion of nuclear fuel
f. GENERAL TERMS AND CONDITIONS
i.",Exclusion,Health-related conditions,High,This clause excludes coverage for certain health-related conditions,"['Intentional self-injury', 'Suicide attempt', 'Donor screening', 'Transplant surgery', 'War', 'Invasion', 'Foreign enemies', 'Hostilities', 'Civil war', 'Commotion', 'Unrest', 'Rebellion', 'Revolution', 'Military or usurped power', 'Confiscation or nationalisation', 'Requisition', 'Damage', 'Government or public local authority', 'Nuclear weapons/materials', 'Ionising radiation', 'Contamination by radioactivity', 'Nuclear fuel', 'Nuclear waste']",high Exclusion,Health,3
C3246,"Standard General Terms and Clauses (General Terms and clauses whose
wordings are specified by IRDAI)
1.",General Terms and Conditions,Standard Terms and Clauses,Low,This is a heading for a section of standard terms and conditions as specified by IRDAI.,"['Standard Terms and Clauses', 'IRDAI']",low Coverage,Health,1
C3247,"Disclosure of Information
The Policy shall be void and all premium paid thereon shall be forfeited to the Company in
the event of misrepresentation, mis-description or non-disclosure of any material fact by the
policyholder
(Explanation: ""Material facts"" for the purpose of this policy shall mean all relevant information
sought by the company in the proposal form and other connected documents to enable it to
take informed decision in the context of underwriting the risk)
2.",Exclusion,Non-disclosure Consequences,High,This clause outlines the consequences of non-disclosure or misrepresentation of material facts by the policyholder.,"['Policy', 'Misrepresentation', 'Mis-description', 'Non-disclosure', 'Material fact', 'Policyholder', 'Company', 'Underwriting']",high Exclusion,Health,3
